scope,series_type,label,adds,removes,net_apps,total_moves,sample_apps
all-games,raw-tag,Boomer Shooter,3,0,3,3,"Thug Life, GRIMPS, Ninja Vs Bomb"
all-games,raw-tag,Card Game,3,0,3,3,"Dicebinder, Sexorcism: Lust Confession, Ritualist"
all-games,raw-tag,Experimental,3,0,3,3,"Chaosfall, Biocybernetic Trap, Ringbound"
all-games,raw-tag,Grand Strategy,0,3,-3,3,"College Basketball Manager, Songs of Silence, Grand Cru: The Wine Maker"
all-games,raw-tag,Rhythm,3,0,3,3,"Kaz, Threadline, TSAREVNA. Age of Tales"
all-games,raw-tag,Tanks,3,0,3,3,"Hoverise Rebellion, Celestial Fragments, Splash Adventure: The Maze of Morla"
all-games,raw-tag,Tutorial,0,3,-3,3,"Harvest Skies: Crop Dusting Simulator, Bronzebeard's Tavern 2, Regret To Inform"
all-games,raw-tag,2D Fighter,1,2,-1,3,"Dungeonfall, KungPaw, Armageddon Onslaught"
all-games,raw-tag,3D Fighter,1,2,-1,3,"Plucked Up, One more time, Elementers"
all-games,raw-tag,4 Player Local,1,2,-1,3,"Kingdomino, The Left Behind, Biped 2"
all-games,raw-tag,Asynchronous Multiplayer,2,1,1,3,"Hello World, DopeNet, Valefor 2"
all-games,raw-tag,Automobile Sim,2,1,1,3,"Responding, One more time, Speed Boom"
all-games,raw-tag,Battle Royale,2,1,1,3,"ALTERA, One more time"
all-games,raw-tag,Board Game,1,2,-1,3,"Puzzle Car, Mega Deal Card, Fine Dying"
all-games,raw-tag,Capitalism,2,1,1,3,"Land Of Opportunities, Raccoon Valley Tycoon, Big Dig"
all-games,raw-tag,Card Battler,2,1,1,3,"Valefor 2, Out of the Park Baseball 27, Joker Madness 🃏"
all-games,raw-tag,Class-Based,1,2,-1,3,"Demon Hunters, Granblue Fantasy, Drag Racing 3D: Streets 2"
