dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
genre,raw-genre,Casual,casual,Genres,49,29,20,78,0.0000,1.7500,1.7500,"DETOUR, Nomad Drive, Project: Haste"
genre,raw-genre,Early Access,early access,Genres,66,65,1,131,-2.7500,4.2500,7.0000,"Boardlike, Night Light, Univoyager"
genre,raw-genre,Free to Play,free to play,Genres,41,25,16,66,0.7500,1.7500,1.0000,"Dark Pixel, Deluge, Dice Shaper"
genre,raw-genre,Indie,indie,Genres,59,14,45,73,4.5000,1.7500,-2.7500,"Flipping is Hard, Joker Madness 🃏, Lens Of Fear"
genre,raw-genre,Massively Multiplayer,massively multiplayer,Genres,7,6,1,13,-0.2500,0.7500,1.0000,"Farm Renovator, Nomad Drive, Spire of Ash"
genre,raw-genre,Nudity,nudity,Genres,0,1,-1,1,0.0000,-0.2500,-0.2500,Tender Loving Care
genre,raw-genre,Racing,racing,Genres,5,4,1,9,0.0000,0.2500,0.2500,"DETOUR, Hyperlane Highway, Machine Mind"
genre,raw-genre,RPG,rpg,Genres,26,17,9,43,-0.2500,2.5000,2.7500,"Abyss Diver, Arkus, Mhystaria"
genre,raw-genre,Sexual Content,sexual content,Genres,0,1,-1,1,0.0000,-0.2500,-0.2500,Tender Loving Care
genre,raw-genre,Simulation,simulation,Genres,23,24,-1,47,-0.5000,-0.5000,0.0000,"A Webbing Journey, DeadPoly, Flipping is Hard"
genre,raw-genre,Sports,sports,Genres,3,5,-2,8,-0.5000,0.2500,0.7500,"Gladiatory, Off World Racing, One more time"
genre,raw-genre,Strategy,strategy,Genres,30,16,14,46,0.5000,1.0000,0.5000,"Alder Forge 2, Hello World, Mind Flowers"
genre,raw-genre,Violent,violent,Genres,0,1,-1,1,0.0000,-0.2500,-0.2500,Titanic: Adventure Out Of Time
tag,raw-tag,1980s,1980s,Other,4,2,2,6,0.2500,0.0000,-0.2500,"An Odd Walk: Shinjuku Alley, BROTANK, MergePiece: Merge pixels into masterpieces"
tag,raw-tag,1990's,1990's,Other,5,8,-3,13,0.2500,-0.2500,-0.5000,"Space Elite Force II, Dungeonfall, Coin Pusher Casino"
tag,raw-tag,2.5D,2.5d,Other,5,1,4,6,0.2500,0.0000,-0.2500,"Highrise: Avatar & Social World, Cantarella: Dominion of Qualia, Loot Goblin"
tag,raw-tag,2D,2d,Visual & Format,18,14,4,32,-0.7500,0.5000,1.2500,"Red: Flame & Fable, Bones and Coins, Dogwood"
tag,raw-tag,2D Fighter,2d fighter,Other,1,2,-1,3,0.0000,-0.2500,-0.2500,"Dungeonfall, KungPaw, Armageddon Onslaught"
tag,raw-tag,2D Platformer,2d platformer,Other,2,6,-4,8,0.0000,-0.5000,-0.5000,"Hakimi Blaster - Hakimi Survivors, Mask of Soul, StarSavior"
tag,raw-tag,360 Video,360 video,Other,1,0,1,1,0.0000,0.2500,0.2500,PatchWorld
tag,raw-tag,3D,3d,Visual & Format,21,27,-6,48,0.2500,-0.5000,-0.7500,"Hope in the City, Hyperlane Highway, INDOORS"
tag,raw-tag,3D Fighter,3d fighter,Other,1,2,-1,3,0.2500,-0.2500,-0.5000,"Plucked Up, One more time, Elementers"
tag,raw-tag,3D Platformer,3d platformer,Other,8,5,3,13,-0.2500,0.7500,1.0000,"Lens Of Fear, StarSavior, The Secret Story Night Shift"
tag,raw-tag,4 Player Local,4 player local,Other,1,2,-1,3,0.0000,-0.2500,-0.2500,"Kingdomino, The Left Behind, Biped 2"
tag,raw-tag,4X,4x,Other,0,3,-3,3,0.0000,-0.2500,-0.2500,"Virtualord, The Virtual Conqueror, College Basketball Manager, Grand Cru: The Wine Maker"
